# Model spectral template of M1149 JD1
# generated from broadband photometry SED fitting 
# using gsf code (Morishita+2019)
# RF-Wavelength Flux
# (um) (Flambda)
0.06950 0.00000e+00
0.07050 0.00000e+00
0.07160 0.00000e+00
0.07260 0.00000e+00
0.07350 0.00000e+00
0.07450 0.00000e+00
0.07550 0.00000e+00
0.07650 0.00000e+00
0.07750 0.00000e+00
0.07850 0.00000e+00
0.07950 0.00000e+00
0.08050 0.00000e+00
0.08150 0.00000e+00
0.08250 0.00000e+00
0.08350 0.00000e+00
0.08450 0.00000e+00
0.08550 0.00000e+00
0.08650 0.00000e+00
0.08750 0.00000e+00
0.08850 0.00000e+00
0.08950 0.00000e+00
0.09050 0.00000e+00
0.09150 0.00000e+00
0.09250 0.00000e+00
0.09350 0.00000e+00
0.09450 0.00000e+00
0.09550 0.00000e+00
0.09650 0.00000e+00
0.09750 0.00000e+00
0.09850 0.00000e+00
0.09950 0.00000e+00
0.10050 0.00000e+00
0.10150 0.00000e+00
0.10250 0.00000e+00
0.10350 0.00000e+00
0.10450 0.00000e+00
0.10550 0.00000e+00
0.10650 0.00000e+00
0.10750 0.00000e+00
0.10850 0.00000e+00
0.10950 0.00000e+00
0.11050 0.00000e+00
0.11150 0.00000e+00
0.11250 0.00000e+00
0.11350 0.00000e+00
0.11450 0.00000e+00
0.11550 0.00000e+00
0.11650 0.00000e+00
0.11750 0.00000e+00
0.11850 0.00000e+00
0.11950 0.00000e+00
0.12050 0.00000e+00
0.12150 0.00000e+00
0.12250 2.82171e-04
0.12350 2.59381e-04
0.12450 2.34531e-04
0.12550 1.98823e-04
0.12650 1.80797e-04
0.12750 1.88929e-04
0.12850 1.84799e-04
0.12950 1.62232e-04
0.13050 1.79271e-04
0.13150 1.82836e-04
0.13250 1.72502e-04
0.13350 1.66761e-04
0.13450 1.93225e-04
0.13550 1.73791e-04
0.13650 1.78146e-04
0.13750 1.66563e-04
0.13850 1.69524e-04
0.13950 1.93570e-04
0.14050 2.08112e-04
0.14150 1.84501e-04
0.14250 1.77859e-04
0.14350 1.86225e-04
0.14420 1.91783e-04
0.14470 1.96504e-04
0.14550 1.82846e-04
0.14650 1.84123e-04
0.14750 1.94321e-04
0.14850 1.90545e-04
0.14950 1.98252e-04
0.15050 1.81954e-04
0.15120 1.67461e-04
0.15170 1.84909e-04
0.15250 1.66482e-04
0.15350 1.61187e-04
0.15450 1.18707e-04
0.15550 2.00757e-04
0.15650 1.71846e-04
0.15750 1.64254e-04
0.15850 1.71686e-04
0.15950 1.83778e-04
0.16050 1.95050e-04
0.16150 1.94823e-04
0.16250 1.94279e-04
0.16350 1.82850e-04
0.16450 1.92289e-04
0.16550 1.94911e-04
0.16650 1.84656e-04
0.16720 1.73800e-04
0.16770 1.83921e-04
0.16850 2.06736e-04
0.16950 1.90186e-04
0.17050 1.96079e-04
0.17150 1.83130e-04
0.17250 1.76958e-04
0.17350 1.98022e-04
0.17450 1.79896e-04
0.17550 2.05693e-04
0.17650 1.98642e-04
0.17750 1.77445e-04
0.17850 1.95337e-04
0.17950 2.07720e-04
0.18050 1.98460e-04
0.18150 1.96912e-04
0.18250 1.93138e-04
0.18350 1.99696e-04
0.18450 1.89350e-04
0.18550 1.86471e-04
0.18650 1.87522e-04
0.18750 2.02399e-04
0.18850 1.70682e-04
0.18950 1.66106e-04
0.19050 2.00734e-04
0.19150 1.84832e-04
0.19250 1.85688e-04
0.19350 1.99256e-04
0.19450 2.02529e-04
0.19550 1.73935e-04
0.19670 2.02895e-04
0.19760 2.01910e-04
0.19840 1.93500e-04
0.19950 1.95728e-04
0.20050 1.90518e-04
0.20150 2.00122e-04
0.20250 2.03244e-04
0.20350 1.80312e-04
0.20450 1.94065e-04
0.20550 1.99116e-04
0.20650 1.98583e-04
0.20740 2.07737e-04
0.20780 1.86771e-04
0.20850 1.83643e-04
0.20950 1.96238e-04
0.21050 2.03307e-04
0.21150 1.92596e-04
0.21250 2.07413e-04
0.21350 2.02962e-04
0.21450 2.03428e-04
0.21550 2.06985e-04
0.21650 2.05052e-04
0.21750 2.04483e-04
0.21850 2.03416e-04
0.21950 2.07172e-04
0.22050 2.05105e-04
0.22150 2.02517e-04
0.22250 2.00077e-04
0.22350 2.04683e-04
0.22450 2.02093e-04
0.22550 2.00058e-04
0.22650 2.01782e-04
0.22750 2.03775e-04
0.22850 2.05840e-04
0.22950 2.02085e-04
0.23050 2.03212e-04
0.23150 2.01135e-04
0.23250 1.84945e-04
0.23350 1.97803e-04
0.23450 1.95351e-04
0.23550 1.99417e-04
0.23650 1.94718e-04
0.23750 1.96481e-04
0.23850 1.92471e-04
0.23950 1.96559e-04
0.24050 1.93948e-04
0.24150 1.95224e-04
0.24250 1.98579e-04
0.24350 1.95621e-04
0.24450 1.99485e-04
0.24550 1.98876e-04
0.24650 1.98487e-04
0.24750 1.96764e-04
0.24850 1.99690e-04
0.24950 1.95873e-04
0.25050 2.01829e-04
0.25130 1.95975e-04
0.25180 1.99046e-04
0.25250 1.95387e-04
0.25350 1.95282e-04
0.25450 1.94444e-04
0.25550 1.98506e-04
0.25650 1.97632e-04
0.25750 2.01357e-04
0.25850 2.01133e-04
0.25950 2.00800e-04
0.26050 1.98572e-04
0.26150 1.98281e-04
0.26250 2.00549e-04
0.26350 2.01778e-04
0.26450 2.07915e-04
0.26550 2.08364e-04
0.26650 2.04221e-04
0.26750 2.06859e-04
0.26850 2.06666e-04
0.26950 2.03899e-04
0.27050 2.05376e-04
0.27150 2.02917e-04
0.27250 2.02993e-04
0.27350 2.07022e-04
0.27450 1.99056e-04
0.27550 2.00311e-04
0.27650 2.03546e-04
0.27750 2.08681e-04
0.27850 2.09367e-04
0.27950 1.98905e-04
0.28050 2.03817e-04
0.28150 2.11605e-04
0.28250 2.10557e-04
0.28350 2.06277e-04
0.28450 2.04961e-04
0.28550 2.04394e-04
0.28650 2.08082e-04
0.28750 2.07209e-04
0.28850 2.08229e-04
0.28950 2.07644e-04
0.29100 2.12098e-04
0.29300 2.10588e-04
0.29500 2.10262e-04
0.29700 2.11968e-04
0.29900 2.12718e-04
0.30100 2.13997e-04
0.30300 2.14545e-04
0.30500 2.14715e-04
0.30700 2.14971e-04
0.30900 2.15902e-04
0.31100 2.15669e-04
0.31300 2.15502e-04
0.31500 2.16643e-04
0.31700 2.16950e-04
0.31900 2.15030e-04
0.32100 2.18462e-04
0.32300 2.16968e-04
0.32500 2.19081e-04
0.32700 2.20826e-04
0.32900 2.21445e-04
0.33100 2.22390e-04
0.33300 2.22439e-04
0.33500 2.22297e-04
0.33700 2.22163e-04
0.33900 2.23343e-04
0.34100 2.25211e-04
0.34300 2.25259e-04
0.34500 2.24802e-04
0.34700 2.25576e-04
0.34900 2.27160e-04
0.35100 2.29097e-04
0.35300 2.29303e-04
0.35500 2.31452e-04
0.35700 2.29558e-04
0.35900 2.30085e-04
